"","askingprice","originalprice","age_05_or_less","age_06_10","age_11_15","age_16_20","age_21_25","age_26_30","age_31_35","age_36_40","age_41_50","age_51_60","age_61_70","age_71_80","age_81","age_new_under_construction","age_unknown","appearance_excellent","appearance_fair","appearance_good","appearance_needsrepair","appearance_verygood","beds","fb","hb","sqft_1000","sqft_1001_1200","sqft_1201_1400","sqft_1401_1600","sqft_1601_1800","sqft_1801_2000","sqft_2001_2200","sqft_2201_2500","sqft_2501_2750","sqft_2751_3000","sqft_3001_3300","sqft_3301_3750","sqft_3751_4250","sqft_4251_5000","sqft_5001_5500","sqft_5501_6000","sqft_6000","sqft_midpoint","sqft_category","lotsize_use","soldprice","year_sold","month_sold","offenders_near_house","tract","daysonmarket","tract_212270101","tract_212270102","tract_212270103","tract_212270104","tract_212270105","tract_212270106","tract_212270107","tract_212270108","tract_212270109","tract_212270110","tract_212270111","tract_212270112","tract_212270113","tract_212270114","tract_212270115","tract_212270116","tract_212270117","tract_212270118","tract_212270119"
"441",235400,235400,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2359,"1801-2500",1.12,235400,2017,9,0,"212270114","19",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"442",81000,81000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0.4,81000,2018,5,11,"212270112","32",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"443",72225,72225,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1900,"1801-2500",12,72225,2016,11,0,"212270118","16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"444",189000,189000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2100,"1801-2500",0.74,184000,2015,5,0,"212270108","56",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"445",1070000,1070000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6250,NA,2.33,1070000,2018,8,2,"212270108","7",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"446",167500,167500,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1700,"1401-1800",0.64,173500,2016,9,0,"212270119","45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"447",179900,179900,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,"1401-1800",0.18,175500,2016,4,11,"212270107","31",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"448",319900,319900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2359,"1801-2500",0.5,315000,2019,6,5,"212270109","49",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"449",134900,134900,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1700,"1401-1800",0.09,131900,2017,9,11,"212270107","149",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"450",219900,229900,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2359,"1801-2500",0.52,221000,2015,4,6,"212270109","295",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"451",259900,267900,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2359,"1801-2500",0,255900,2013,8,0,"212270108","92",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"452",167900,167900,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,"1401-1800",0.36,155000,2012,12,6,"212270107","87",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"453",105000,117900,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,"1001-1400",0,98500,2016,2,10,"212270110","285",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"454",119900,119900,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,"1001-1400",0.12,119900,2017,6,1,"212270113","36",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"455",124900,124900,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,"1001-1400",0.19,122000,2012,11,3,"212270108","36",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"456",159900,159900,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,"1001-1400",0.25,160000,2021,3,6,"212270106","42",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"457",134900,134900,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,"1001-1400",0.34,133000,2016,6,7,"212270110","50",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"458",149000,162000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1700,"1401-1800",0.41,140000,2012,12,6,"212270109","179",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"459",599200,599200,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5750,NA,2,599200,2018,10,1,"212270108","29",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
