"","house","offender","lat","Photo.Date","off_market_date"
"36404",14524,35,0.836057485412415,2022-07-21,2017-12-14
"36405",14524,83,0.795955068726468,2019-07-29,2017-12-14
"36406",14524,90,0.326096475555555,2022-03-09,2017-12-14
"36407",14525,93,0.385494839669912,2022-10-03,2018-08-03
"36408",14527,15,0.25257631328143,2022-07-13,2014-12-03
"36409",14527,33,0.343420155921348,2022-07-21,2014-12-03
"36410",14527,90,0.36833698747247,2022-03-09,2014-12-03
"36411",14528,64,0.484115208295705,2022-06-01,2018-08-31
"36412",14528,76,0.619669920997163,2021-07-07,2018-08-31
"36413",14528,80,0.437490751509847,2012-04-20,2018-08-31
"36414",14528,81,0.619669920997163,2019-03-22,2018-08-31
"36415",14528,94,0.796428737987307,2022-07-26,2018-08-31
"36416",14528,97,0.796428737987307,2022-11-21,2018-08-31
"36417",14529,1,0.911820951892823,2022-09-19,2016-12-19
"36418",14529,24,0.110980158166667,2021-07-07,2016-12-19
"36419",14529,26,0.182815353666594,2022-01-04,2016-12-19
"36420",14529,46,0.204652867519156,2022-07-20,2016-12-19
"36421",14529,50,0.13946719944025,2022-07-25,2016-12-19
"36422",14529,67,0.273466709535056,2022-08-19,2016-12-19
"36423",14530,87,0.432920384502693,2021-07-07,2015-08-26
"36424",14530,88,0.257115050750606,2019-11-21,2015-08-26
"36425",14532,41,0.125299376022753,2022-07-20,2018-04-09
"36426",14533,92,0.956807525477375,2022-05-04,2017-09-15
"36427",14535,77,0.492169844434738,2022-07-13,2013-02-19
"36428",14536,41,0.145567937169619,2022-07-20,2017-09-08
"36429",14537,44,0.281763574602928,2020-12-10,2018-03-02
"36430",14538,11,0.773369497723862,2019-03-25,2016-01-15
"36431",14539,92,0.436479394046439,2022-05-04,2012-08-03
"36432",14542,93,0.59340586515143,2022-10-03,2019-04-18
"36433",14543,3,0.840774809066307,2020-07-28,2014-09-17
"36434",14543,77,0.634621377112169,2022-07-13,2014-09-17
"36435",14543,85,0.95297311024267,2021-09-03,2014-09-17
"36436",14544,8,0.959606381061845,2022-08-18,2019-12-02
"36437",14544,12,0.0813208162116057,2022-02-11,2019-12-02
"36438",14544,13,0.950146705786841,2022-07-18,2019-12-02
"36439",14544,23,0.311128742171585,2021-03-02,2019-12-02
"36440",14544,31,0.265033056974593,2020-08-18,2019-12-02
"36441",14544,48,0.801828449574028,2022-07-13,2019-12-02
"36442",14544,68,0.547181137941747,2013-03-28,2019-12-02
"36443",14544,69,0.950146705786841,2022-07-21,2019-12-02
"36444",14546,15,0.609820274458399,2022-07-13,2019-07-10
"36445",14546,33,0.597424734689981,2022-07-21,2019-07-10
"36446",14546,35,0.741184625183592,2022-07-21,2019-07-10
"36447",14546,42,0.960415863685405,2022-07-28,2019-07-10
"36448",14546,62,0.835520032538136,2022-07-28,2019-07-10
"36449",14546,83,0.724775008033397,2019-07-29,2019-07-10
"36450",14546,89,0.665705805686919,2022-08-05,2019-07-10
"36451",14546,90,0.411158882618399,2022-03-09,2019-07-10
"36452",14546,91,0.9518967906771,2021-03-18,2019-07-10
"36453",14547,75,0.310500767640744,2021-09-17,2017-06-16
"36454",14548,87,0.101153810169791,2021-07-07,2014-10-03
